Meter,Name,SerialNumber,Register,Date,StartTime,Duration,PeriodValue,TotalValue,Unit
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,00:00,30,22.27,916803.78,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,00:30,30,21.06,916826.05,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,01:00,30,21.27,916847.11,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,01:30,30,20.85,916868.38,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,02:00,30,20.66,916889.23,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,02:30,30,20.66,916909.89,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,03:00,30,20.66,916930.55,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,03:30,30,20.89,916951.21,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,04:00,30,20.49,916972.10,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,04:30,30,20.30,916992.59,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,05:00,30,20.67,917012.89,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,05:30,30,20.92,917033.56,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,06:00,30,21.09,917054.48,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,06:30,30,23.05,917075.57,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,07:00,30,22.85,917098.63,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,07:30,30,24.37,917121.47,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,08:00,30,25.14,917145.85,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,08:30,30,26.10,917170.98,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,09:00,30,28.33,917197.08,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,09:30,30,29.56,917225.41,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,10:00,30,30.91,917254.97,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,10:30,30,33.65,917285.88,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,11:00,30,35.01,917319.53,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,11:30,30,34.53,917354.54,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,12:00,30,34.20,917389.07,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,12:30,30,34.27,917423.27,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,13:00,30,34.11,917457.54,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,13:30,30,34.57,917491.65,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,14:00,30,35.79,917526.22,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,14:30,30,35.71,917562.01,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,15:00,30,34.42,917597.72,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,15:30,30,34.82,917632.14,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,16:00,30,35.55,917666.96,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,16:30,30,34.74,917702.50,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,17:00,30,30.32,917737.24,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,17:30,30,27.76,917767.57,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,18:00,30,25.93,917795.33,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,18:30,30,25.81,917821.26,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,19:00,30,24.50,917847.07,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,19:30,30,24.77,917871.57,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,20:00,30,23.07,917896.33,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,20:30,30,23.16,917919.40,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,21:00,30,23.14,917942.56,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,21:30,30,23.33,917965.70,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,22:00,30,22.53,917989.03,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,22:30,30,22.60,918011.56,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,23:00,30,22.63,918034.17,"kWh"
3778,"163AABME001D","K11M00349","Active Energy Import",05/11/2019,23:30,30,22.05,918056.80,"kWh"
